"per_target_trial","benchmark","fuzzer","edges_covered","coverage_increase","fuzzer_rank","initial_coverage","mean_exec_ns","mean_size_bytes","corpus_size","total_shared","total_eq","total_ineq","bin_text_size"
10,"zlib_zlib_uncompress_fuzzer","libfuzzer",463,130,3,14,22,21,9,4,3,2,2
11,"harfbuzz-1.3.2","libfuzzer",6639,1360,4,14,23,9,14,5,8,10,7
11,"libjpeg-turbo-07-2017","libfuzzer",1757,190,4,19,12,21,17.5,2,1,3,9
11,"libpcap_fuzz_both","libfuzzer",2840,816,4,14,15,7,14,10,9,6,3
11,"libpng-1.2.56","libfuzzer",902,380,3,15,16,23,13.5,6,5,4,1
11,"libxslt_xpath","libfuzzer",7261,2987,4,1,24,7,1,1,2,1,11
11,"mbedtls_fuzz_dtlsclient","libfuzzer",3678,380,4,18,4,15,19.5,11,11,9,6
11,"vorbis-2017-12-11","libfuzzer",1154,346,4,3,6,2,3,8,6,8,4
11,"woff2-2016-05-06","libfuzzer",1140,272,3,8,15,6,10.5,9,10,11,5
11,"zlib_zlib_uncompress_fuzzer","libfuzzer",462,191,2.5,4,4,13,3,4,3,2,2
12,"harfbuzz-1.3.2","libfuzzer",7024,1328,4,21,17,12,21,4,7,9,7
12,"libjpeg-turbo-07-2017","libfuzzer",880,880,2,1,24,24,24,11,11,11,11
12,"libpcap_fuzz_both","libfuzzer",2213,1059,4,2,4,11,2,9,8,5,3
12,"libpng-1.2.56","libfuzzer",945,461,2,11,2,15,13.5,5,4,3,1
12,"libxslt_xpath","libfuzzer",9471,1025,3,11,1,1,11,1,1,1,10
12,"mbedtls_fuzz_dtlsclient","libfuzzer",3432,561,3,11,24,18,8,10,10,8,6
12,"vorbis-2017-12-11","libfuzzer",1164,186,4,6,9,24,5.5,7,5,7,4
12,"woff2-2016-05-06","libfuzzer",1202,70,4,24,23,19,24,8,9,10,5
12,"zlib_zlib_uncompress_fuzzer","libfuzzer",472,167,1,9,18,5,12,3,2,2,2
13,"harfbuzz-1.3.2","libfuzzer",6800,1176,4,20,5,17,18.5,5,8,10,7
13,"libjpeg-turbo-07-2017","libfuzzer",1859,199,4,23,13,20,21,2,1,3,9
13,"libpcap_fuzz_both","libfuzzer",2992,1373,4,8,13,20,16,10,9,6,3
13,"libpng-1.2.56","libfuzzer",888,431,3,8,24,6,6.5,6,5,4,1
13,"libxslt_xpath","libfuzzer",8704,1545,3,6,19,5,4.5,1,2,1,11
13,"mbedtls_fuzz_dtlsclient","libfuzzer",3447,474,3,14,11,8,14,11,11,9,6
13,"vorbis-2017-12-11","libfuzzer",1351,154,3,14,8,22,15,8,6,8,4
13,"woff2-2016-05-06","libfuzzer",1165,224,3,15,17,21,14,9,10,11,5
13,"zlib_zlib_uncompress_fuzzer","libfuzzer",473,102,1.5,19,12,18,17,4,3,2,2
14,"harfbuzz-1.3.2","libfuzzer",5245,2927,4,1,21,2,1,5,8,10,7
14,"libjpeg-turbo-07-2017","libfuzzer",1731,767,3,7,10,9,6.5,2,1,3,9
14,"libpcap_fuzz_both","libfuzzer",3076,882,4,16,16,18,15,10,9,6,3
14,"libpng-1.2.56","libfuzzer",889,104,2,24,7,20,23.5,6,5,4,1
14,"libxslt_xpath","libfuzzer",10386,690,3,21,8,12,21,1,2,1,11
14,"mbedtls_fuzz_dtlsclient","libfuzzer",3623,304,3,20,8,20,19.5,11,11,9,6
14,"vorbis-2017-12-11","libfuzzer",1314,273,3,8,24,6,8,8,6,8,4
14,"woff2-2016-05-06","libfuzzer",1189,385,2,6,7,10,8,9,10,11,5
14,"zlib_zlib_uncompress_fuzzer","libfuzzer",471,165,1.5,10,9,3,16,4,3,2,2
15,"harfbuzz-1.3.2","libfuzzer",6475,1403,4,11,12,22,12,4,7,9,6
15,"libjpeg-turbo-07-2017","libfuzzer",1817,214,4,20,22,23,12.5,2,1,2,8
15,"libpcap_fuzz_both","libfuzzer",2663,987,4,12,22,22,11,9,8,5,2
15,"libpng-1.2.56","libfuzzer",904,166,2,20,3,16,20.5,5,4,3,1
15,"libxslt_xpath","libfuzzer",10190,684,4,19,12,10,19,1,2,1,10
15,"mbedtls_fuzz_dtlsclient","libfuzzer",3425,528,3,12,20,4,12,10,10,8,5
15,"vorbis-2017-12-11","libfuzzer",1346,67,4,21,14,20,21,7,5,7,3
15,"woff2-2016-05-06","libfuzzer",1243,187,2,19,11,16,19,8,9,10,4
15,"zlib_zlib_uncompress_fuzzer","libfuzzer",471,471,1.5,1,24,24,24,11,11,11,11
16,"harfbuzz-1.3.2","libfuzzer",7245,2495,3,8,13,10,10,5,8,10,7
16,"libjpeg-turbo-07-2017","libfuzzer",1994,548,3,16,11,11,14.5,2,1,3,9
16,"libpcap_fuzz_both","libfuzzer",2717,1085,3,10,23,4,5,10,9,6,3
16,"libpng-1.2.56","libfuzzer",889,343,3,16,12,19,17,6,5,4,1
16,"libxslt_xpath","libfuzzer",11051,314,4,24,15,11,23,1,2,1,11
16,"mbedtls_fuzz_dtlsclient","libfuzzer",2097,503,3,5,23,3,5.5,11,11,9,6
16,"vorbis-2017-12-11","libfuzzer",1276,159,4,11,22,7,12.5,8,6,8,4
16,"woff2-2016-05-06","libfuzzer",1145,286,3,7,14,8,12,9,10,11,5
16,"zlib_zlib_uncompress_fuzzer","libfuzzer",469,83,3,22,5,4,21,4,3,2,2
17,"harfbuzz-1.3.2","libfuzzer",7197,3856,2,4,15,3,5,5,8,10,7
17,"libjpeg-turbo-07-2017","libfuzzer",1719,850,3,4,6,12,3,2,1,3,9
17,"libpcap_fuzz_both","libfuzzer",3020,569,4,20,12,17,17,10,9,6,3
17,"libpng-1.2.56","libfuzzer",889,416,3,9,19,3,11,6,5,4,1
17,"libxslt_xpath","libfuzzer",10089,531,4,20,20,13,20,1,2,1,11
17,"mbedtls_fuzz_dtlsclient","libfuzzer",3684,510,3,16,7,6,17,11,11,9,6
17,"vorbis-2017-12-11","libfuzzer",1276,251,4,7,23,1,7,8,6,8,4
17,"woff2-2016-05-06","libfuzzer",1190,254,3,14,10,18,15,9,10,11,5
17,"zlib_zlib_uncompress_fuzzer","libfuzzer",463,339,2,2,15,1,1,4,3,2,2
18,"harfbuzz-1.3.2","libfuzzer",7348,907,4,24,6,14,23,5,8,10,7
18,"libjpeg-turbo-07-2017","libfuzzer",2003,501,3,17,9,7,19,2,1,3,9
18,"libpcap_fuzz_both","libfuzzer",2459,1033,4,3,11,15,3,10,9,6,3
18,"libpng-1.2.56","libfuzzer",889,244,3,18,11,22,18,6,5,4,1
18,"libxslt_xpath","libfuzzer",9863,514,4,16,10,21,18,1,2,1,11
18,"mbedtls_fuzz_dtlsclient","libfuzzer",3512,404,3,15,10,7,16,11,11,9,6
18,"vorbis-2017-12-11","libfuzzer",1240,556,2,2,1,4,1,8,6,8,4
18,"woff2-2016-05-06","libfuzzer",1216,159,3,20,9,11,17,9,10,11,5
18,"zlib_zlib_uncompress_fuzzer","libfuzzer",473,181,1.5,7,16,9,9,4,3,2,2
19,"harfbuzz-1.3.2","libfuzzer",7185,1776,3,16,7,11,16,5,8,10,7
19,"libjpeg-turbo-07-2017","libfuzzer",936,652,2,2,1,1,2,2,1,3,9
19,"libpcap_fuzz_both","libfuzzer",2290,753,4,5,9,23,7,10,9,6,3
19,"libpng-1.2.56","libfuzzer",897,502,3,5,6,7,8,6,5,4,1
19,"libxslt_xpath","libfuzzer",8328,1289,4,4,2,18,6,1,2,1,11
19,"mbedtls_fuzz_dtlsclient","libfuzzer",3284,632,3,9,18,14,10,11,11,9,6
19,"vorbis-2017-12-11","libfuzzer",1277,314,3,5,4,14,4,8,6,8,4
19,"woff2-2016-05-06","libfuzzer",905,878,3,1,6,1,1.5,9,10,11,5
19,"zlib_zlib_uncompress_fuzzer","libfuzzer",472,89,1.5,21,1,19,14,4,3,2,2
20,"harfbuzz-1.3.2","libfuzzer",7127,1812,3,15,10,19,9,5,8,10,7
20,"libjpeg-turbo-07-2017","libfuzzer",1909,553,4,13,15,8,12.5,2,1,3,9
20,"libpcap_fuzz_both","libfuzzer",2769,1160,3,7,21,6,13,10,9,6,3
20,"libpng-1.2.56","libfuzzer",891,379,3,14,17,5,13.5,6,5,4,1
20,"libxslt_xpath","libfuzzer",9547,1939,3,7,23,6,8,1,2,1,11
20,"mbedtls_fuzz_dtlsclient","libfuzzer",2048,471,2,4,21,16,5.5,11,11,9,6
20,"vorbis-2017-12-11","libfuzzer",1283,238,4,9,15,5,10,8,6,8,4
20,"woff2-2016-05-06","libfuzzer",1223,275,2.5,16,18,22,13,9,10,11,5
20,"zlib_zlib_uncompress_fuzzer","libfuzzer",471,190,2.5,5,3,11,6,4,3,2,2
21,"harfbuzz-1.3.2","libfuzzer",7163,2310,3,9,16,6,8,5,8,10,7
21,"libjpeg-turbo-07-2017","libfuzzer",1809,169,4,22,21,22,16,2,1,3,9
21,"libpcap_fuzz_both","libfuzzer",2621,998,4,9,14,24,4,10,9,6,3
21,"libpng-1.2.56","libfuzzer",943,369,1,17,1,14,16,6,5,4,1
21,"libxslt_xpath","libfuzzer",9115,2070,2,5,3,4,4.5,1,2,1,11
21,"mbedtls_fuzz_dtlsclient","libfuzzer",3767,328,3,22,9,17,18,11,11,9,6
21,"vorbis-2017-12-11","libfuzzer",1301,217,4,10,3,23,9,8,6,8,4
21,"woff2-2016-05-06","libfuzzer",1192,321,3,9,21,23,5.5,9,10,11,5
21,"zlib_zlib_uncompress_fuzzer","libfuzzer",472,183,1,6,23,22,3,4,3,2,2
22,"harfbuzz-1.3.2","libfuzzer",7260,2328,3,10,8,15,13,5,8,10,7
22,"libjpeg-turbo-07-2017","libfuzzer",1790,534,4,11,14,14,8.5,2,1,3,9
22,"libpcap_fuzz_both","libfuzzer",2164,1456,3,1,5,2,1,10,9,6,3
22,"libpng-1.2.56","libfuzzer",889,385,3,13,15,12,13.5,6,5,4,1
22,"libxslt_xpath","libfuzzer",9075,1451,4,8,5,3,7,1,2,1,11
22,"mbedtls_fuzz_dtlsclient","libfuzzer",3622,440,3,17,13,13,15,11,11,9,6
22,"vorbis-2017-12-11","libfuzzer",1347,90,4,20,21,13,20,8,6,8,4
22,"woff2-2016-05-06","libfuzzer",992,832,2,2,3,2,1.5,9,10,11,5
22,"zlib_zlib_uncompress_fuzzer","libfuzzer",469,94,4,20,7,10,20,4,3,2,2
23,"harfbuzz-1.3.2","libfuzzer",5945,1773,4,5,19,24,4,5,8,10,7
23,"libjpeg-turbo-07-2017","libfuzzer",971,683,2,3,5,3,1,2,1,3,9
23,"libpcap_fuzz_both","libfuzzer",2823,1172,3,11,18,3,9,10,9,6,3
23,"libpng-1.2.56","libfuzzer",889,498,3,4,13,11,6.5,6,5,4,1
23,"libxslt_xpath","libfuzzer",10941,269,4,23,18,20,24,1,2,1,11
23,"mbedtls_fuzz_dtlsclient","libfuzzer",2180,611,2,3,14,24,2,11,11,9,6
23,"vorbis-2017-12-11","libfuzzer",1097,504,1,1,2,10,2,8,6,8,4
23,"woff2-2016-05-06","libfuzzer",1184,213,3,17,8,17,18,9,10,11,5
23,"zlib_zlib_uncompress_fuzzer","libfuzzer",471,169,1,8,8,6,9,4,3,2,2
0,"harfbuzz-1.3.2","aflplusplus",7959,3718,1,6,14,21,7,5,8,10,7
0,"libjpeg-turbo-07-2017","aflplusplus",2087,700,1,15,17,6,14.5,2,1,3,9
0,"libpcap_fuzz_both","aflplusplus",2936,1350,1,7,24,1,8,10,9,6,3
0,"libpng-1.2.56","aflplusplus",899,147,3,22,10,18,19,6,5,4,1
0,"libxslt_xpath","aflplusplus",10830,2974,1,9,22,14,9,1,2,1,11
0,"mbedtls_fuzz_dtlsclient","aflplusplus",2851,634,3,7,12,5,9,11,11,9,6
0,"vorbis-2017-12-11","aflplusplus",1266,347,1,4,16,3,5.5,8,6,8,4
0,"woff2-2016-05-06","aflplusplus",1224,160,3,22,12,3,22,9,10,11,5
0,"zlib_zlib_uncompress_fuzzer","aflplusplus",470,68,3,23,21,16,22,4,3,2,2
1,"harfbuzz-1.3.2","aflplusplus",8007,2761,1,13,9,5,15,5,8,10,7
1,"libjpeg-turbo-07-2017","aflplusplus",1894,692,1,10,4,2,17.5,2,1,3,9
1,"libpcap_fuzz_both","aflplusplus",3637,339,1,24,6,13,21,10,9,6,3
1,"libpng-1.2.56","aflplusplus",917,436,1,10,23,4,9.5,6,5,4,1
1,"libxslt_xpath","aflplusplus",11118,2501,1,12,6,15,13,1,2,1,11
1,"mbedtls_fuzz_dtlsclient","aflplusplus",3822,311,1,24,2,11,23,11,11,9,6
1,"vorbis-2017-12-11","aflplusplus",1378,130,1,18,20,8,19,8,6,8,4
1,"woff2-2016-05-06","aflplusplus",1239,180,2,21,24,14,20,9,10,11,5
1,"zlib_zlib_uncompress_fuzzer","aflplusplus",471,116,3,17,20,17,14,4,3,2,2
2,"harfbuzz-1.3.2","aflplusplus",7653,2106,1,18,22,20,17,5,8,10,7
2,"libjpeg-turbo-07-2017","aflplusplus",1910,636,1,12,8,13,10,2,1,3,9
2,"libpcap_fuzz_both","aflplusplus",3269,998,1,18,17,12,12,10,9,6,3
2,"libpng-1.2.56","aflplusplus",927,715,2,1,22,8,1,6,5,4,1
2,"libxslt_xpath","aflplusplus",11124,2403,1,13,17,9,12,1,2,1,11
2,"mbedtls_fuzz_dtlsclient","aflplusplus",3512,653,1,10,19,12,11,11,11,9,6
2,"vorbis-2017-12-11","aflplusplus",1379,156,1,16,12,21,16,8,6,8,4
2,"woff2-2016-05-06","aflplusplus",1185,174,3,18,2,20,21,9,10,11,5
2,"zlib_zlib_uncompress_fuzzer","aflplusplus",462,147,2.5,12,2,8,14,4,3,2,2
3,"harfbuzz-1.3.2","aflplusplus",8029,2575,1,17,3,7,18.5,5,8,10,7
3,"libjpeg-turbo-07-2017","aflplusplus",2072,559,2,18,2,17,20,2,1,3,9
3,"libpcap_fuzz_both","aflplusplus",3367,1343,1,14,10,19,18,10,9,6,3
3,"libpng-1.2.56","aflplusplus",946,567,1,3,20,1,4.5,6,5,4,1
3,"libxslt_xpath","aflplusplus",11476,1385,1,22,13,17,22,1,2,1,11
3,"mbedtls_fuzz_dtlsclient","aflplusplus",1622,398,3,1,6,1,1,11,11,9,6
3,"vorbis-2017-12-11","aflplusplus",1385,87,1,23,11,18,23,8,6,8,4
3,"woff2-2016-05-06","aflplusplus",1239,155,1,23,4,7,23,9,10,11,5
3,"zlib_zlib_uncompress_fuzzer","aflplusplus",471,119,2,16,13,7,18.5,4,3,2,2
4,"harfbuzz-1.3.2","aflplusplus",7712,1416,1,23,1,13,24,5,8,10,7
4,"libjpeg-turbo-07-2017","aflplusplus",2093,296,1,24,7,19,23,2,1,3,9
4,"libpcap_fuzz_both","aflplusplus",3317,1178,3,15,7,5,20,10,9,6,3
4,"libpng-1.2.56","aflplusplus",921,485,2,7,14,10,2.5,6,5,4,1
4,"libxslt_xpath","aflplusplus",10980,2717,1,10,7,23,10,1,2,1,11
4,"mbedtls_fuzz_dtlsclient","aflplusplus",3609,694,1,13,17,21,13,11,11,9,6
4,"vorbis-2017-12-11","aflplusplus",1355,208,1,12,19,9,12.5,8,6,8,4
4,"woff2-2016-05-06","aflplusplus",1011,504,2,3,19,15,5.5,9,10,11,5
4,"zlib_zlib_uncompress_fuzzer","aflplusplus",461,116,3,15,17,20,11,4,3,2,2
5,"harfbuzz-1.3.2","aflplusplus",7647,4346,1,3,4,4,3,5,8,10,7
5,"libjpeg-turbo-07-2017","aflplusplus",2023,887,1,8,16,18,6.5,2,1,3,9
5,"libpcap_fuzz_both","aflplusplus",3447,630,2,23,3,9,24,10,9,6,3
5,"libpng-1.2.56","aflplusplus",917,671,1,2,4,2,2.5,6,5,4,1
5,"libxslt_xpath","aflplusplus",11282,1927,1,17,21,22,16,1,2,1,11
5,"mbedtls_fuzz_dtlsclient","aflplusplus",2097,604,1,2,16,22,3,11,11,9,6
5,"vorbis-2017-12-11","aflplusplus",1386,83,1,24,7,17,24,8,6,8,4
5,"woff2-2016-05-06","aflplusplus",1207,279,2,12,22,13,16,9,10,11,5
5,"zlib_zlib_uncompress_fuzzer","aflplusplus",472,37,2,24,6,14,23,4,3,2,2
6,"harfbuzz-1.3.2","aflplusplus",8040,2424,1,19,20,8,20,5,8,10,7
6,"libjpeg-turbo-07-2017","aflplusplus",1786,854,2,6,23,4,4.5,2,1,3,9
6,"libpcap_fuzz_both","aflplusplus",3369,888,3,19,2,14,23,10,9,6,3
6,"libpng-1.2.56","aflplusplus",919,196,1,19,8,21,22,6,5,4,1
6,"libxslt_xpath","aflplusplus",10276,3662,1,2,9,24,2,1,2,1,11
6,"mbedtls_fuzz_dtlsclient","aflplusplus",3660,357,3,19,3,19,21,11,11,9,6
6,"vorbis-2017-12-11","aflplusplus",1369,213,1,13,10,15,11,8,6,8,4
6,"woff2-2016-05-06","aflplusplus",1026,441,3,4,16,5,3,9,10,11,5
6,"zlib_zlib_uncompress_fuzzer","aflplusplus",471,141,1,13,11,23,3,4,3,2,2
7,"harfbuzz-1.3.2","aflplusplus",7699,1522,1,22,2,16,22,5,8,10,7
7,"libjpeg-turbo-07-2017","aflplusplus",2049,692,1,14,19,5,11,2,1,3,9
7,"libpcap_fuzz_both","aflplusplus",3297,589,2,22,8,16,19,10,9,6,3
7,"libpng-1.2.56","aflplusplus",910,476,1.5,6,21,24,4.5,6,5,4,1
7,"libxslt_xpath","aflplusplus",11194,2110,1,15,11,19,14,1,2,1,11
7,"mbedtls_fuzz_dtlsclient","aflplusplus",3603,1343,1,8,22,23,4,11,11,9,6
7,"vorbis-2017-12-11","aflplusplus",1379,130,1,19,18,12,18,8,6,8,4
7,"woff2-2016-05-06","aflplusplus",1183,489,2,5,5,4,4,9,10,11,5
7,"zlib_zlib_uncompress_fuzzer","aflplusplus",471,161,2.5,11,14,12,7,4,3,2,2
8,"harfbuzz-1.3.2","aflplusplus",7871,5398,1,2,18,1,2,5,8,10,7
8,"libjpeg-turbo-07-2017","aflplusplus",2024,866,2,9,20,10,8.5,2,1,3,9
8,"libpcap_fuzz_both","aflplusplus",3059,1111,1,11,20,8,6,10,9,6,3
8,"libpng-1.2.56","aflplusplus",895,408,2,12,18,9,9.5,6,5,4,1
8,"libxslt_xpath","aflplusplus",10529,3791,1,3,4,2,3,1,2,1,11
8,"mbedtls_fuzz_dtlsclient","aflplusplus",3737,305,1,21,1,10,24,11,11,9,6
8,"vorbis-2017-12-11","aflplusplus",1384,92,2,22,5,19,22,8,6,8,4
8,"woff2-2016-05-06","aflplusplus",1232,311,2,11,13,12,10.5,9,10,11,5
8,"zlib_zlib_uncompress_fuzzer","aflplusplus",460,236,3,3,10,2,5,4,3,2,2
9,"harfbuzz-1.3.2","aflplusplus",7648,2409,1,12,11,18,11,5,8,10,7
9,"libjpeg-turbo-07-2017","aflplusplus",1846,949,2,5,3,16,4.5,2,1,3,9
9,"libpcap_fuzz_both","aflplusplus",3071,1364,2,8,19,21,10,10,9,6,3
9,"libpng-1.2.56","aflplusplus",930,185,2,21,9,13,20.5,6,5,4,1
9,"libxslt_xpath","aflplusplus",11205,2173,1,14,16,8,15,1,2,1,11
9,"mbedtls_fuzz_dtlsclient","aflplusplus",2406,794,1,6,15,2,7,11,11,9,6
9,"vorbis-2017-12-11","aflplusplus",1378,133,2,17,13,16,17,8,6,8,4
9,"woff2-2016-05-06","aflplusplus",1195,314,2,10,20,24,7,9,10,11,5
9,"zlib_zlib_uncompress_fuzzer","aflplusplus",463,100,2,18,19,15,18.5,4,3,2,2
10,"harfbuzz-1.3.2","aflplusplus",7582,3096,1,7,24,23,6,5,8,10,7
10,"libjpeg-turbo-07-2017","aflplusplus",2091,463,1,21,18,15,22,2,1,3,9
10,"libpcap_fuzz_both","aflplusplus",3399,854,3,20,1,10,22,10,9,6,3
10,"libpng-1.2.56","aflplusplus",884,100,3,23,5,17,23.5,6,5,4,1
10,"libxslt_xpath","aflplusplus",11149,1792,1,18,14,16,17,1,2,1,11
10,"mbedtls_fuzz_dtlsclient","aflplusplus",3825,373,1,23,5,9,22,11,11,9,6
10,"vorbis-2017-12-11","aflplusplus",1381,175,1,15,17,11,14,8,6,8,4
10,"woff2-2016-05-06","aflplusplus",1198,264,3,13,1,9,9,9,10,11,5
10,"zlib_zlib_uncompress_fuzzer","aflplusplus",471,138,1,14,22,21,9,4,3,2,2
11,"harfbuzz-1.3.2","aflplusplus",7627,2348,1,14,23,9,14,5,8,10,7
11,"libjpeg-turbo-07-2017","aflplusplus",2091,524,1,19,12,21,17.5,2,1,3,9
11,"libpcap_fuzz_both","aflplusplus",3149,1195,1,12,15,7,14,10,9,6,3
11,"libpng-1.2.56","aflplusplus",909,387,2,15,16,23,13.5,6,5,4,1
11,"libxslt_xpath","aflplusplus",8437,4163,1,1,24,7,1,1,2,1,11
11,"mbedtls_fuzz_dtlsclient","aflplusplus",3803,505,1,18,4,15,19.5,11,11,9,6
11,"vorbis-2017-12-11","aflplusplus",1290,482,1,3,6,2,3,8,6,8,4
11,"woff2-2016-05-06","aflplusplus",1199,331,1,8,15,6,10.5,9,10,11,5
11,"zlib_zlib_uncompress_fuzzer","aflplusplus",462,191,2.5,4,4,13,3,4,3,2,2
12,"harfbuzz-1.3.2","aflplusplus",7900,2204,1,21,17,12,21,4,7,9,7
12,"libjpeg-turbo-07-2017","aflplusplus",505,505,3,1,24,24,24,11,11,11,11
12,"libpcap_fuzz_both","aflplusplus",2597,1107,1,4,4,11,2,9,8,5,3
12,"libpng-1.2.56","aflplusplus",917,433,3,11,2,15,13.5,5,4,3,1
12,"libxslt_xpath","aflplusplus",10968,2522,1,11,1,1,11,1,1,1,10
12,"mbedtls_fuzz_dtlsclient","aflplusplus",3485,614,2,11,24,18,8,10,10,8,6
12,"vorbis-2017-12-11","aflplusplus",1287,309,2,6,9,24,5.5,7,5,7,4
12,"woff2-2016-05-06","aflplusplus",1240,108,2,24,23,19,24,8,9,10,5
12,"zlib_zlib_uncompress_fuzzer","aflplusplus",462,157,3,9,18,5,12,3,2,2,2
13,"harfbuzz-1.3.2","aflplusplus",7700,2076,1,20,5,17,18.5,5,8,10,7
13,"libjpeg-turbo-07-2017","aflplusplus",2089,429,1,23,13,20,21,2,1,3,9
13,"libpcap_fuzz_both","aflplusplus",3272,1332,1,10,13,20,16,10,9,6,3
13,"libpng-1.2.56","aflplusplus",919,462,2,8,24,6,6.5,6,5,4,1
13,"libxslt_xpath","aflplusplus",10078,2919,1,6,19,5,4.5,1,2,1,11
13,"mbedtls_fuzz_dtlsclient","aflplusplus",3462,489,1,14,11,8,14,11,11,9,6
13,"vorbis-2017-12-11","aflplusplus",1369,172,1,14,8,22,15,8,6,8,4
13,"woff2-2016-05-06","aflplusplus",1198,257,2,15,17,21,14,9,10,11,5
13,"zlib_zlib_uncompress_fuzzer","aflplusplus",472,101,3,19,12,18,17,4,3,2,2
14,"harfbuzz-1.3.2","aflplusplus",7318,5000,1,1,21,2,1,5,8,10,7
14,"libjpeg-turbo-07-2017","aflplusplus",1863,899,1,7,10,9,6.5,2,1,3,9
14,"libpcap_fuzz_both","aflplusplus",3273,674,1,21,16,18,15,10,9,6,3
14,"libpng-1.2.56","aflplusplus",880,95,3,24,7,20,23.5,6,5,4,1
14,"libxslt_xpath","aflplusplus",11460,1764,1,21,8,12,21,1,2,1,11
14,"mbedtls_fuzz_dtlsclient","aflplusplus",3728,409,1,20,8,20,19.5,11,11,9,6
14,"vorbis-2017-12-11","aflplusplus",1356,315,1,8,24,6,8,8,6,8,4
14,"woff2-2016-05-06","aflplusplus",1186,382,3,6,7,10,8,9,10,11,5
14,"zlib_zlib_uncompress_fuzzer","aflplusplus",461,155,3,10,9,3,16,4,3,2,2
15,"harfbuzz-1.3.2","aflplusplus",7983,2911,1,11,12,22,12,4,7,9,6
15,"libjpeg-turbo-07-2017","aflplusplus",2086,483,1,20,22,23,12.5,2,1,2,8
15,"libpcap_fuzz_both","aflplusplus",3167,938,1,17,22,22,11,9,8,5,2
15,"libpng-1.2.56","aflplusplus",918,180,1,20,3,16,20.5,5,4,3,1
15,"libxslt_xpath","aflplusplus",11354,1848,1,19,12,10,19,1,2,1,10
15,"mbedtls_fuzz_dtlsclient","aflplusplus",3480,583,1,12,20,4,12,10,10,8,5
15,"vorbis-2017-12-11","aflplusplus",1387,108,1,21,14,20,21,7,5,7,3
15,"woff2-2016-05-06","aflplusplus",1231,175,3,19,11,16,19,8,9,10,4
15,"zlib_zlib_uncompress_fuzzer","aflplusplus",457,457,3,1,24,24,24,11,11,11,11
16,"harfbuzz-1.3.2","aflplusplus",7683,2933,1,8,13,10,10,5,8,10,7
16,"libjpeg-turbo-07-2017","aflplusplus",2049,603,2,16,11,11,14.5,2,1,3,9
16,"libpcap_fuzz_both","aflplusplus",2906,1519,2,3,23,4,5,10,9,6,3
16,"libpng-1.2.56","aflplusplus",913,367,1,16,12,19,17,6,5,4,1
16,"libxslt_xpath","aflplusplus",11637,900,1,24,15,11,23,1,2,1,11
16,"mbedtls_fuzz_dtlsclient","aflplusplus",2335,741,1,5,23,3,5.5,11,11,9,6
16,"vorbis-2017-12-11","aflplusplus",1324,207,1,11,22,7,12.5,8,6,8,4
16,"woff2-2016-05-06","aflplusplus",1184,325,2,7,14,8,12,9,10,11,5
16,"zlib_zlib_uncompress_fuzzer","aflplusplus",471,85,2,22,5,4,21,4,3,2,2
17,"harfbuzz-1.3.2","aflplusplus",7467,4126,1,4,15,3,5,5,8,10,7
17,"libjpeg-turbo-07-2017","aflplusplus",1845,976,2,4,6,12,3,2,1,3,9
17,"libpcap_fuzz_both","aflplusplus",3133,945,2,16,12,17,17,10,9,6,3
17,"libpng-1.2.56","aflplusplus",915,442,2,9,19,3,11,6,5,4,1
17,"libxslt_xpath","aflplusplus",11262,1704,1,20,20,13,20,1,2,1,11
17,"mbedtls_fuzz_dtlsclient","aflplusplus",3691,517,1.5,16,7,6,17,11,11,9,6
17,"vorbis-2017-12-11","aflplusplus",1335,310,1,7,23,1,7,8,6,8,4
17,"woff2-2016-05-06","aflplusplus",1212,276,1,14,10,18,15,9,10,11,5
17,"zlib_zlib_uncompress_fuzzer","aflplusplus",462,338,3,2,15,1,1,4,3,2,2
18,"harfbuzz-1.3.2","aflplusplus",8008,1567,1,24,6,14,23,5,8,10,7
18,"libjpeg-turbo-07-2017","aflplusplus",2061,559,2,17,9,7,19,2,1,3,9
18,"libpcap_fuzz_both","aflplusplus",2714,1175,1,5,11,15,3,10,9,6,3
18,"libpng-1.2.56","aflplusplus",918,273,1,18,11,22,18,6,5,4,1
18,"libxslt_xpath","aflplusplus",11233,1884,1,16,10,21,18,1,2,1,11
18,"mbedtls_fuzz_dtlsclient","aflplusplus",3667,559,1,15,10,7,16,11,11,9,6
18,"vorbis-2017-12-11","aflplusplus",1212,528,3,2,1,4,1,8,6,8,4
18,"woff2-2016-05-06","aflplusplus",1237,180,2,20,9,11,17,9,10,11,5
18,"zlib_zlib_uncompress_fuzzer","aflplusplus",472,180,3,7,16,9,9,4,3,2,2
19,"harfbuzz-1.3.2","aflplusplus",7666,2257,1,16,7,11,16,5,8,10,7
19,"libjpeg-turbo-07-2017","aflplusplus",640,356,3,2,1,1,2,2,1,3,9
19,"libpcap_fuzz_both","aflplusplus",3039,1045,1,13,9,23,7,10,9,6,3
19,"libpng-1.2.56","aflplusplus",917,522,1,5,6,7,8,6,5,4,1
19,"libxslt_xpath","aflplusplus",10594,3555,1,4,2,18,6,1,2,1,11
19,"mbedtls_fuzz_dtlsclient","aflplusplus",3447,795,1,9,18,14,10,11,11,9,6
19,"vorbis-2017-12-11","aflplusplus",1298,335,1,5,4,14,4,8,6,8,4
19,"woff2-2016-05-06","aflplusplus",1005,978,2,1,6,1,1.5,9,10,11,5
